compositeHourlyWages,age,yearsEducation,sex1M0F
23.1,34,18,1
6.71,65,12,0
22.08,40,20,0
27.8,30,9,0
15.34,31,12,1
19.2,42,20,0
18,46,8,1
13.75,34,15,1
28.54,26,17,1
9.25,25,9,1
29.76,37,12,1
14,49,15,1
8.5,28,13,0
20.67,29,19,0
15.36,37,12,0
18.24,31,15,0
22.77,32,18,0
7.53,31,12,0
13.5,30,17,1
6,16,10,1
17.8,30,12,1
17.46,45,9,1
19,48,10,1
21.5,53,7,1
9.72,30,15,0
12,33,13,1
14.96,28,16,0
19.7,23,12,0
23.55,48,13,1
18.92,48,10,1
15,25,15,0
16.85,61,10,0
13.59,48,13,0
8.6,60,16,0
17.14,28,14,1
26.78,42,15,1
21.6,47,12,1
6.98,19,12,0
18.92,57,10,1
11,22,17,1
16,43,13,0
22.81,45,8,1
20.4,38,11,1
25,32,15,0
23.96,36,14,1
22.23,41,16,0
20.87,42,13,1
8.7,22,16,1
32,47,11,1
32.52,42,18,1
10.85,32,15,0
12.5,60,13,0
9.43,21,11,1
16,57,11,0
11,36,12,1
20.24,38,14,1
23.97,55,12,1
8.5,42,12,0
13.73,23,12,1
16.46,54,16,0
3.35,37,7,1
17.76,27,15,1
16.12,33,12,1
27.8,34,12,0
7.12,35,12,0
10.71,52,10,1
30,52,11,0
6.85,31,15,0
19.68,42,16,1
14.4,31,12,0
14.88,40,13,0
6.55,18,12,0
14.4,59,10,1
14.15,25,12,1
15,40,19,0
12.5,31,8,0
9.63,18,12,1
14.71,47,10,0
16.72,36,14,0
9.5,59,12,0
26.48,33,15,1
29.57,48,18,1
25.74,34,13,1
14,38,17,0
3.31,34,9,0
22.19,45,12,1
10.28,29,13,0
4.8,18,13,1
19,48,15,0
18.24,40,14,0
16.7,41,16,1
27.56,40,14,0
6.77,46,10,0
18.76,31,18,0
9.56,24,17,0
10,21,12,1
15,64,13,0
7.85,47,9,0
18.21,30,19,0
25.92,48,18,1
8,30,8,1
6.83,41,14,1
6.7,20,13,0
11.2,48,8,1
19.76,32,14,0
10.56,24,16,1
7.88,20,13,0
10.4,31,12,1
7.5,46,15,0
14.25,31,11,1
17.9,42,14,1
12,47,13,0
17.81,25,13,0
8.57,18,13,0
26.11,39,17,0
19.91,48,12,0
13.26,52,12,0
15.65,49,14,1
18.24,46,10,0
24.96,44,18,0
6.59,19,13,0
10,45,13,0
14.28,39,12,1
16.8,32,11,1
11.68,30,12,0
16,26,16,0
17.9,27,16,1
9.66,45,10,1
23.04,38,18,0
13.59,29,14,0
6.5,19,13,0
10.85,37,12,0
18.24,31,12,1
38,46,17,1
7,18,12,0
6.03,22,14,1
15.81,40,10,0
32.6,38,20,1
15.87,45,10,0
21.53,38,10,1
28.8,42,12,1
12.29,28,17,0
6.79,19,14,0
9.9,50,13,0
17.92,32,17,0
14.03,59,20,1
8.63,24,17,1
6.5,16,9,1
5,16,11,1
9,28,13,1
9.74,24,16,0
35.84,49,20,0
12,65,6,1
6.83,27,13,0
18.39,51,12,1
10.85,25,19,0
3.64,33,13,0
16.32,42,13,1
19,53,14,0
12,48,10,0
6.5,22,12,0
7.61,30,14,0
12.13,51,12,0
6.63,22,13,0
19.2,44,17,1
13.68,49,11,0
21.6,29,16,1
6.81,18,13,1
15,53,4,1
11.77,55,14,0
12,53,12,0
6.7,20,15,0
12.8,27,12,0
28.73,36,15,1
8.33,22,11,1
10.37,39,15,1
31.2,52,10,1
9.85,21,14,0
20.21,33,15,1
6.91,48,11,0
6.7,19,12,1
19.2,28,19,0
28.8,54,16,0
31.33,53,20,1
14.8,42,15,0
18.5,24,15,0
8.05,41,12,0
12.84,20,9,0
21.12,45,17,0
19.97,53,9,1
6,17,10,1
11,26,12,0
13.75,28,17,0
22.9,28,11,1
29.27,38,11,0
20.09,36,12,1
15.52,44,16,0
19.04,36,13,0
18.33,30,18,1
13.92,23,16,1
19.2,39,12,0
11.29,38,10,0
8.33,42,14,0
14,37,10,1
13.71,39,12,0
12.78,33,11,1
18.92,53,13,1
11.06,29,10,1
15.84,25,17,0
11.44,22,17,1
29.6,32,14,1
10,45,20,1
6.87,20,12,1
13.21,28,16,1
17.01,44,12,0
19.2,30,19,0
7.93,30,12,0
12,26,15,1
14.4,62,17,0
18.58,34,16,1
21.12,46,14,1
17.77,31,15,0
13.41,33,13,0
10,34,13,0
11.5,21,11,1
7,17,12,0
10.3,58,10,1
14.59,51,13,0
28.8,54,14,0
8,20,16,0
13.13,32,19,1
6.9,21,15,1
27.14,47,18,1
6.7,24,17,0
20,42,12,0
7.92,28,16,1
6.72,18,10,1
30.38,41,12,1
13.28,54,12,0
4.89,40,12,1
6.6,22,16,0
32.64,65,12,1
14.83,40,12,0
6.5,24,19,0
19,35,12,1
18.92,54,11,1
11.5,33,15,0
11.6,49,12,0
24,32,17,0
25.79,41,19,0
21.44,49,13,1
21.93,51,17,1
7.79,18,13,0
6.7,22,16,0
17.76,42,15,1
12.5,59,11,0
16.8,39,12,1
15.93,34,9,0
7,21,15,0
17.07,32,12,1
8.12,25,18,0
9.45,23,13,1
28.53,41,16,1
9.33,41,14,0
30.66,57,7,0
7.03,25,12,1
12,47,12,1
28.64,51,20,0
9,34,14,0
7.35,52,10,0
17.21,26,16,0
7.52,31,15,0
8.5,31,12,0
8,25,6,1
10.81,46,12,1
7.6,57,9,0
27.79,57,13,0
3.83,17,11,1
6.89,40,16,0
20,37,14,1
27.79,35,18,0
17.85,44,13,1
7,30,12,0
19,40,10,1
20.3,26,18,1
13.79,25,14,1
8.3,24,15,1
14.74,34,13,0
8,25,14,1
19.46,35,12,1
18.35,41,13,0
18.42,27,19,0
7,22,15,1
7,48,15,0
7.48,38,12,0
18,29,15,1
27.9,53,15,1
6.7,18,13,1
14,29,14,0
23.04,56,15,0
10,61,8,1
10,40,15,0
6.57,28,13,0
